version,file,wsCount,avgWsLoadMs,avgEngineEtlUs,restSuccess,restExact,restAvgBidBps,restAvgAskBps,xchangeSuccess,xchangeExact,xchangeAvgBidBps,xchangeAvgAskBps,cacheTopOfBook,publishedEvents,replayRecords
V14-connector-wrapper,data/datasource-v14-prev-f584843-latest.log,6,1329.626667,0.000000,6,5,0.008613,0.017224,4,3,0.012919,0.025836,-,-,-
V16-data-engine-runtime,data/datasource-v16-current-latest.log,6,2108.258333,433.300000,6,6,0.000000,0.000000,4,4,0.000000,0.000000,6,6,6
